FECHA,CODIGO,PRODUCTO SERVICO:,PRECIO UNITARIO,,,2188000
23/04/2026,55,servicios informatiicos y capacitacion DB,"$86,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$91,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$97,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$88,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$94,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$93,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$91,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$93,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$83,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$97,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$99,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$85,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$86,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$83,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$98,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$102,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$107,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$100,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$108,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$112,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$103,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$95,000.00",,,
23/04/2026,55,servicios informatiicos y capacitacion DB,"$97,000.00",,,
